IN1, IN2, IN3, IN4, IN5,Out1,Out2
0.077744138,0.795565144,-0.665503315,0.879321449,0.134418828,-0.122686361,0.123661032
0.080312532,0.824594893,-0.655446576,0.875636019,0.134940748,-0.122686361,0.123661032
0.087354903,0.776257622,-0.65054984,0.884105422,0.132451594,-0.026856981,0.123661032
0.091773645,0.739148839,-0.644933511,0.892043272,0.131287312,-0.026856981,0.25100961
0.091166068,0.761331949,-0.648654329,0.892752009,0.136787539,-0.026856981,0.25100961
0.087658691,0.762016613,-0.653656371,0.896012198,0.140481123,-0.026856981,0.378358188
0.082494286,0.733397663,-0.653621269,0.892468514,0.138192707,-0.026856981,0.378358188
0.081886709,0.703957115,-0.650795554,0.89151172,0.137510197,-0.026856981,0.505706766
0.084814126,0.637955516,-0.654586576,0.888535026,0.135382372,-0.026856981,0.505706766
0.084040846,0.66821766,-0.654516372,0.889314636,0.130925983,-0.026856981,0.633055344
0.083681823,0.789403169,-0.659834333,0.887471921,0.085037223,-0.026856981,0.633055344
0.085421703,0.790498631,-0.664011477,0.887046679,0.034210303,0.068972399,0.505706766
0.082494286,0.722853839,-0.663081273,0.892043272,0.031721149,0.164801779,0.378358188
0.07578332,0.721484511,-0.65790372,0.897961224,-0.002966418,0.068972399,0.378358188
0.064266973,0.734356192,-0.650830656,0.903170438,-0.042752736,-0.026856981,0.505706766
0.052999179,0.678350685,-0.644003306,0.906005385,-0.065797485,-0.122686361,0.505706766
0.042118025,0.66328808,-0.646864124,0.910257805,-0.119755921,-0.218515741,0.633055344
0.030684529,0.717239595,-0.651795963,0.911675278,-0.209445764,-0.314345121,0.633055344
0.025271569,0.747501739,-0.647618818,0.917451482,-0.297730438,-0.410174501,0.633055344
0.027066683,0.778037748,-0.648075145,0.921243223,-0.324549066,-0.506003881,0.760403923
0.025520124,0.811449346,-0.648373512,0.920180118,-0.337597051,-0.601833261,0.760403923
0.021708958,0.752842117,-0.660694333,0.913057315,-0.370357531,-0.601833261,0.760403923
0.021708958,0.695056484,-0.663046171,0.905119464,-0.391876669,-0.506003881,0.633055344
0.024470672,0.698890602,-0.65635923,0.905686453,-0.419819431,-0.506003881,0.505706766
0.026044849,0.675201232,-0.66097515,0.907351985,-0.452098139,-0.506003881,0.505706766
0.021073764,0.734219259,-0.654007392,0.911923336,-0.482168726,-0.506003881,0.505706766
0.017676855,0.804054976,-0.669645357,0.921349534,-0.520469581,-0.506003881,0.378358188
0.014169479,0.721347578,-0.69821843,0.91635294,-0.529422506,-0.506003881,0.378358188
0.012070576,0.65096413,-0.691654345,0.906324316,-0.531028412,-0.506003881,0.378358188
0.015909358,0.676570559,-0.690109855,0.897819476,-0.559934717,-0.506003881,0.25100961
0.024774461,0.718608922,-0.681720464,0.89374424,-0.592173278,-0.506003881,0.25100961
0.035241357,0.757771697,-0.668399234,0.898032097,-0.592213425,-0.506003881,0.123661032
0.047558602,0.831304599,-0.65876372,0.877159802,-0.59229372,-0.410174501,-0.131036125
0.062333773,0.794606615,-0.650830656,0.857846728,-0.591330177,-0.410174501,-0.131036125
0.071695984,0.731480604,-0.648004941,0.860079249,-0.580008541,-0.410174501,-0.131036125
0.074595783,0.7406551,-0.650935962,0.860079249,-0.514889058,-0.410174501,-0.131036125
0.070618915,0.735040856,-0.66097515,0.85827197,-0.453543454,-0.410174501,-0.131036125
0.074098675,0.662603416,-0.661501681,0.859051581,-0.45310183,-0.410174501,-0.131036125
0.079787806,0.647266945,-0.65448127,0.862807885,-0.452660206,-0.410174501,-0.131036125
0.081527686,0.701492325,-0.656078413,0.868017099,-0.452218582,-0.410174501,-0.131036125
0.083543737,0.714774805,-0.666749438,0.872623888,-0.454065374,-0.410174501,-0.131036125
0.086913028,0.725318629,-0.671260052,0.877833102,-0.456434085,-0.314345121,-0.258384703
0.084178931,0.763933672,-0.668293928,0.881872901,-0.456313642,-0.314345121,-0.385733281
0.075866172,0.738874974,-0.665608621,0.881908338,-0.454627441,-0.314345121,-0.385733281
0.072855904,0.714911737,-0.658939231,0.885770953,-0.454105521,-0.314345121,-0.385733281
0.069790401,0.760784218,-0.662186171,0.885948137,-0.456233347,-0.314345121,-0.258384703
0.071640749,0.758045563,-0.670505358,0.8872593,-0.458039991,-0.410174501,-0.258384703
0.075065275,0.736684049,-0.660940048,0.894842782,-0.45924442,-0.410174501,-0.258384703
0.073573949,0.765713798,-0.656183719,0.901008791,-0.458923239,-0.410174501,-0.258384703
0.078462183,0.742435226,-0.662396783,0.901646654,-0.458602058,-0.410174501,-0.131036125
0.077744138,0.699438333,-0.664011477,0.901752965,-0.456875709,-0.410174501,-0.131036125
0.07732988,0.72340157,-0.660080047,0.897075303,-0.463981842,-0.506003881,-0.131036125
0.076777538,0.756813168,-0.646478001,0.897323361,-0.512921823,-0.506003881,-0.003687546
0.079345932,0.727235687,-0.647443308,0.891263662,-0.556883496,-0.410174501,-0.003687546
0.090586108,0.688483711,-0.663326987,0.886408816,-0.554153456,-0.410174501,-0.003687546
0.09163556,0.753115983,-0.655692291,0.895905887,-0.55118253,-0.410174501,0.123661032
0.08989568,0.81802212,-0.645969021,0.895657829,-0.550419725,-0.410174501,0.123661032
0.09163556,0.785705984,-0.649724941,0.894913656,-0.539298827,-0.410174501,0.123661032
0.091497474,0.764755269,-0.653515963,0.896827245,-0.487428068,-0.410174501,0.123661032
0.093568759,0.7160072,-0.654937596,0.896650061,-0.418012787,-0.314345121,0.123661032
0.091994582,0.662192618,-0.651971473,0.896508313,-0.393442427,-0.314345121,0.123661032
0.088183417,0.71011909,-0.653217596,0.894630161,-0.394687005,-0.314345121,0.378358188
0.08486936,0.762975143,-0.652761269,0.89431123,-0.393643166,-0.314345121,0.505706766
0.079401166,0.765166067,-0.650760452,0.893248125,-0.412432264,-0.314345121,0.505706766
0.074733869,0.722579973,-0.665152294,0.893106377,-0.465467305,-0.218515741,0.505706766
0.068326692,0.769410983,-0.666644132,0.899449571,-0.537492183,-0.218515741,0.378358188
0.06352131,0.796386741,-0.664011477,0.904127233,-0.579366178,-0.218515741,0.378358188
0.057224602,0.700122997,-0.664871478,0.903808301,-0.580209279,-0.218515741,0.378358188
0.057390304,0.674105769,-0.662572293,0.900193744,-0.577318648,-0.122686361,0.378358188
0.055705659,0.726140225,-0.662080864,0.895835014,-0.580851641,-0.122686361,0.378358188
0.055733276,0.729289679,-0.65876372,0.89799666,-0.608553517,-0.122686361,0.378358188
0.059323504,0.737916444,-0.655358821,0.900512676,-0.636295541,-0.122686361,0.378358188
0.060069167,0.814188002,-0.657324536,0.899839376,-0.636375836,-0.122686361,0.25100961
0.05907495,0.805150439,-0.65465678,0.895232587,-0.636496279,-0.122686361,0.378358188
0.050237465,0.759141025,-0.65465678,0.891369973,-0.636576575,-0.122686361,0.378358188
0.039604866,0.763796739,-0.657517597,0.890909294,-0.638102185,-0.122686361,0.378358188
0.029358906,0.724360099,-0.655938005,0.892716572,-0.638222628,-0.218515741,0.378358188
0.023504072,0.645897617,-0.659623721,0.89431123,-0.677326436,-0.218515741,0.505706766
0.018367284,0.704230981,-0.663151477,0.898705397,-0.759829849,-0.218515741,0.505706766
